Overall,Team,Player,Player ID,Nationality,Position,Pos2,Age,To,Amateur Team,Amateur League,Games Played,Goals,Assists,Points,+/-,Penalty Minutes,Wins,Loses,Ties,Save %,Goals Against Avg,Round,Draft Year
123,Arizona Coyotes,Conor Garland,garlaco01,US,RW,,19,2019,Moncton,QMJHL,47,13,5,18,1,12,,,,,,5,2015
124,Edmonton Oilers,Ethan Bear,bearet01,CA,D,,18,2018,Seattle,WHL,18,1,3,4,-11,10,,,,,,5,2015
125,Toronto Maple Leafs,Dmytro Timashov,timasdm01,UA,LW,,18,,Quebec,QMJHL,0,,,,,,,,,,,5,2015
126,Carolina Hurricanes,Luke Stevens,stevelu01,US,LW,,18,,Noble & Greenough,High-MA,0,,,,,,,,,,,5,2015
127,St. Louis Blues,Niko Mikkola,mikkoni01,FI,D,,19,,Kalpa Jr.,Finland-Jr.,0,,,,,,,,,,,5,2015
128,Philadelphia Flyers,David Kase,kaseda01,CZ,RW,,18,,Chomutov,Czech-2,0,,,,,,,,,,,5,2015
129,Columbus Blue Jackets,Sam Ruopp,ruoppsa01,CA,D,,19,,Prince George,WHL,0,,,,,,,,,,,5,2015
130,San Jose Sharks,Karlis Cukste,cukstka01,LV,D,,18,,Riga 2,Russia-Jr.,0,,,,,,,,,,,5,2015
131,Montreal Canadiens,Matthew Bradley,bradlma02,CA,C,,18,,Medicine Hat,WHL,0,,,,,,,,,,,5,2015
132,Florida Panthers,Karch Bachman,bachmka01,US,LW,,18,,Culver Academy,High-IN,0,,,,,,,,,,,5,2015
133,Dallas Stars,Joseph Cecconi,ceccojo01,US,D,,18,,Muskegon,USHL,0,,,,,,,,,,,5,2015
134,Los Angeles Kings,Matt Schmalz,schmama01,CA,RW,,19,,Sudbury,OHL,0,,,,,,,,,,,5,2015
135,Minnesota Wild,Kirill Kaprizov,kapriki01,RU,LW,,18,,Novokuznetsk,Russia,0,,,,,,,,,,,5,2015
136,Calgary Flames,Pavel Karnaukhov,karnapa01,BY,LW,,18,,Calgary,WHL,0,,,,,,,,,,,5,2015
137,Pittsburgh Penguins,Dominik Simon,simondo01,CZ,C,,21,2019,Plzen,Czech,109,12,30,42,9,34,,,,,,5,2015
138,Carolina Hurricanes,Spencer Smallman,smallsp01,CA,RW,,19,,Saint John,QMJHL,0,,,,,,,,,,,5,2015
139,Ottawa Senators,Christian Jaros,jarosch01,SK,D,,19,2019,Lulea Jr.,Sweden-Jr.,63,1,9,10,-14,27,,,,,,5,2015
140,Detroit Red Wings,Chase Pearson,pearsch01,CA,C,,18,,Youngstown,USHL,0,,,,,,,,,,,5,2015
